comment,label
学习学习谢谢分享的内容,1
很好,1
實事求是好看,1
很棒谢谢张老师,1
赞,1
好,1
不错,1
课件做得很实用操作性很强,1
棒极了,1
大爱,1
棒棒哒,1
干嘛把桌面拍下来,0
老师说得好,1
思路清晰,1
资源共享值得推广,1
学习了,1
太棒了,1
羡慕,1
精彩纷呈的一堂课,1
学习了自己还有很大进步空间,1
非常棒,1
曾经看过好多遍,1
这个课件不是鄂教版的,0
学习啦,1
视频生动详细方便学生学习非常喜欢,1
很优秀,1
好资源,1
勉强给你四颗星太短了,0
赞学习了下载了,1
还不错,1
很棒,1
怎么没东西,0
老师授课有条理有重点,1
短小却深刻很精巧的微课视频,1
值得学习,1
太美了让汤老师费心了,1
谢谢张老师的分享,1
很有趣谢谢老师分享,1
让老师费心了谢谢您,1
棒,1
受益,1
实用性强内容充实,1
一般般,0
适用,1
内容充实实用性强,1
做得很棒继续加油,1
看不懂呀,0
实用,1
垃圾垃圾,0
学习,1
很好的课件,1
指引清晰,1
内充充实,1
多学习下为以后学习做准备,1
真不错学习了,1
非常有帮助,1
非常好,1
简洁明了,1
内容充实趣味性强可借鉴,1
太好了信息课上的知识又可以回去仔细学习和操作,1
资源很好,1
有帮助谢谢,1
精美的短文,1
可以,1
教学目标明确把握方向正确理解方程的意义体会方程与等式的关系经历从具体问题情境中抽象出方程的过程在观察分类抽象中感受方程的思维方法发展思维能力增强符号意识引导学生初步体会方程的作用为进一步学习方程作准备,1
谢谢老师的辛勤付出,1
老师做的真好,1
垃圾,0
实用性强内容生动有趣思路新颖,1
赞一个,1
学习学习,1
非常好的内容,1
做一个真诚的听众,1
讲得太好了,1
怎么是黑屏一点用有没有,0
该节课教学重难点把握准确教学内容主次分明抓住关键结构合理衔接自然紧凑情感态度与价值观三个维度符合学段教学要求教材特点与学生实际是一节成熟的课,1
为什么下不呢,0
不言而喻你是最棒的,1
还可以,0
开阔眼界,1
有趣,1
此课件设计得很好,1
你很用心搞得好,1
有一点难度考查了学生对英语语言知识的积累与应用,1
说得真好,1
画得好仔细呀,1
真棒,1
很不错的试卷可惜没有听力稿,0
资源很不错,1
厉害,1
真不错,1
很不错,1
讨厌自我感觉很好的人,0
还行,0
感谢分享内容很全面,1
一篇诗一壶酒一曲长歌一剑天涯,1
